Ticker;Nom;Secteur;Pays;Prix Actuel;Devise;Capitalisation (M);Année;Chiffre d'Affaires (M);Résultat Net (M);Marge Nette (%);ROE (%);Dette/Equity;PER (Trailing);Croissance CA 3ans (%);Croissance Bénéfice 3ans (%);Tendance
TTE.PA;TotalEnergies SE;Energy;France;56.16;EUR;120583.5;2024;195610.0;15758.0;8.06;13.37;0.43;10.656547;-25.71;-23.23;⚠️ Déclin
TTE.PA;TotalEnergies SE;Energy;France;56.16;EUR;120583.5;2023;218945.0;21384.0;9.77;18.32;0.41;10.656547;-25.71;-23.23;⚠️ Déclin
TTE.PA;TotalEnergies SE;Energy;France;56.16;EUR;120583.5;2022;263310.0;20526.0;7.8;18.37;0.51;10.656547;-25.71;-23.23;⚠️ Déclin
TTE.PA;TotalEnergies SE;Energy;France;56.16;EUR;120583.5;2021;184634.0;16032.0;8.68;14.35;0.56;10.656547;-25.71;-23.23;⚠️ Déclin
ADS.DE;adidas AG;Consumer Cyclical;Germany;170.1;EUR;30371.2;2024;23683.0;764.0;3.23;13.95;1.02;25.088495;5.21;24.84;✅ Croissance
ADS.DE;adidas AG;Consumer Cyclical;Germany;170.1;EUR;30371.2;2023;21427.0;-75.0;-0.35;-1.64;1.21;25.088495;5.21;24.84;✅ Croissance
ADS.DE;adidas AG;Consumer Cyclical;Germany;170.1;EUR;30371.2;2022;22511.0;612.0;2.72;12.26;1.29;25.088495;5.21;24.84;✅ Croissance
ADS.DE;adidas AG;Consumer Cyclical;Germany;170.1;EUR;30371.2;2021;21234.0;2116.0;9.97;28.14;0.71;25.088495;5.21;24.84;✅ Croissance
AIR.PA;Airbus SE;Industrials;Netherlands;201.35;EUR;158941.6;2024;69230.0;4232.0;6.11;21.59;0.58;31.411858;17.81;-0.35;✅ Croissance
AIR.PA;Airbus SE;Industrials;Netherlands;201.35;EUR;158941.6;2023;65446.0;3789.0;5.79;21.41;0.64;31.411858;17.81;-0.35;✅ Croissance
AIR.PA;Airbus SE;Industrials;Netherlands;201.35;EUR;158941.6;2022;58763.0;4247.0;7.23;32.8;0.85;31.411858;17.81;-0.35;✅ Croissance
AIR.PA;Airbus SE;Industrials;Netherlands;201.35;EUR;158941.6;2021;52149.0;4213.0;8.08;44.51;1.42;31.411858;17.81;-0.35;✅ Croissance
BNP.PA;BNP Paribas SA;Financial Services;France;81.17;EUR;90735.4;2024;65870.0;11688.0;17.74;9.12;2.96;8.490585;14.6;18.68;✅ Croissance
BNP.PA;BNP Paribas SA;Financial Services;France;81.17;EUR;90735.4;2023;59735.0;10975.0;18.37;8.87;2.8;8.490585;14.6;18.68;✅ Croissance
BNP.PA;BNP Paribas SA;Financial Services;France;81.17;EUR;90735.4;2022;57477.0;9848.0;17.13;8.12;2.42;8.490585;14.6;18.68;✅ Croissance
BNP.PA;BNP Paribas SA;Financial Services;France;81.17;EUR;90735.4;2021;56355.0;9488.0;16.84;8.05;2.37;8.490585;14.6;18.68;✅ Croissance
DG.PA;Vinci SA;Industrials;France;119.65;EUR;66535.2;2024;72768.0;4863.0;6.68;16.24;1.21;14.398314;16.4;14.18;✅ Croissance
DG.PA;Vinci SA;Industrials;France;119.65;EUR;66535.2;2023;69885.0;4702.0;6.73;16.73;1.12;14.398314;16.4;14.18;✅ Croissance
DG.PA;Vinci SA;Industrials;France;119.65;EUR;66535.2;2022;62514.0;4259.0;6.81;16.42;1.2;14.398314;16.4;14.18;✅ Croissance
